,0,1
0,0.5547169532746818,OverallQual
1,0.1218738692325289,GrLivArea
2,0.03262540772412846,TotalBsmtSF
3,0.02873137198823957,BsmtFinSF1
4,0.028541035700771204,2ndFlrSF
5,0.025777643512500076,1stFlrSF
6,0.018856887144076823,GarageCars
7,0.015932190460802024,GarageArea
8,0.014904057649159213,LotArea
9,0.01147616215843301,YearBuilt
10,0.009707736986228222,Foundation_PConc
11,0.0076609195096146,LotFrontage
12,0.0069038815971556285,TotRmsAbvGrd
13,0.006859631393209502,GarageYrBlt
14,0.006701664849978264,YearRemodAdd
15,0.006073726024865947,FullBath
16,0.005552930161729637,OpenPorchSF
17,0.004977799414289864,BsmtUnfSF
18,0.004750024487054921,WoodDeckSF
19,0.003988147265079607,OverallCond
20,0.003977742593877603,MasVnrArea
21,0.0031380006937581817,MoSold
22,0.003012187426767052,ScreenPorch
23,0.0026205457123828022,Electrical_SBrkr
24,0.0023945269820316493,Foundation_Stone
25,0.0023836572977402114,MSSubClass
26,0.0023104220177527657,GarageType_Attchd
27,0.0022815833998906,Fireplaces
28,0.0018398233646723461,MasVnrType_BrkFace
29,0.0016589898700668233,Functional_Typ
30,0.0015258521973165553,YrSold
31,0.001427361683640521,LotShape_IR3
32,0.0014124674975244612,BsmtCond_No Value
33,0.0013974452763028742,BedroomAbvGr
34,0.001388815545495538,FireplaceQu_No Value
35,0.0013558613101801451,GarageType_No Value
36,0.0011924436891463848,HeatingQC_Gd
37,0.0011416686639636156,HeatingQC_Fa
38,0.0011236987014142396,Electrical_Mix
39,0.0010677581092657913,MasVnrType_None
40,0.001040783812517693,MSZoning_RL
41,0.0010143760642240878,BsmtCond_TA
42,0.0009153866015482784,PoolArea
43,0.0008506407436913118,KitchenQual_0
44,0.0007926136421909663,KitchenAbvGr
45,0.0007793081408895152,LotShape_Reg
46,0.0007726599922026916,MasVnrType_Stone
47,0.0007367568748275087,BsmtFullBath
48,0.0007265869033749688,Functional_Sev
49,0.000697761081035394,BsmtExposure_No
50,0.0006633456725342825,HalfBath
51,0.0006604351293800786,LandContour_Low
52,0.0006603181402430445,MSZoning_RH
53,0.000646603796602608,EnclosedPorch
54,0.0006354980794554577,Utilities_NoSeWa
55,0.0006338696438276598,Neighborhood_CollgCr
56,0.0006080881763787832,GarageType_Detchd
57,0.0005831579477911465,Neighborhood_ClearCr
58,0.0005515286786511854,SaleType_CWD
59,0.0005427765951884111,FireplaceQu_Fa
60,0.0005239944775452327,SaleCondition_Abnorml
61,0.0005168639263137264,HouseStyle_1Story
62,0.0005156941668003895,GarageType_BuiltIn
63,0.000514164847664053,BsmtFinSF2
64,0.0005077952553066977,LotConfig_FR3
65,0.0005029436378360927,GarageCond_TA
66,0.0004946746050129185,Condition1_Artery
67,0.0004848600971332338,SaleType_WD
68,0.0004735307744315437,LotConfig_FR2
69,0.00046749965202337926,Exterior1st_CBlock
70,0.00045761371200140076,SaleType_ConLI
71,0.0004519359232394982,Utilities_AllPub
72,0.0004394019828593479,Functional_Min1
73,0.00043504365431986476,Exterior2nd_CBlock
74,0.00043449111167227116,SaleType_ConLD
75,0.0004307621316848061,MasVnrType_BrkCmn
76,0.0004034139383321746,HeatingQC_Ex
77,0.00040307091721750095,Exterior2nd_Other
78,0.0003976404821891376,Functional_Min2
79,0.00039108264162880625,Neighborhood_NPkVill
80,0.00038260318416969715,Heating_GasW
81,0.0003824170468152595,LandContour_Bnk
82,0.0003769605728954397,Alley_Pave
83,0.0003759618977698049,ExterCond_Po
84,0.0003728595765128595,Exterior2nd_VinylSd
85,0.0003697654236769692,RoofStyle_Flat
86,0.00035575133938241477,PoolQC_Gd
87,0.00035189054780363166,HouseStyle_SFoyer
88,0.00034647152000264765,ExterCond_Ex
89,0.00033616248549086955,RoofStyle_Mansard
90,0.0003210044756369172,Exterior1st_MetalSd
91,0.0003192705408956754,Condition1_Norm
92,0.0003172574622320772,BsmtQual_Ex
93,0.00031317113384029025,Neighborhood_NWAmes
94,0.00031281422213338744,SaleType_Oth
95,0.00030356035119379385,Exterior1st_Plywood
96,0.00029232860894144757,Fence_GdPrv
97,0.00029228666192412527,BsmtCond_Gd
98,0.00029201094136469625,BsmtExposure_Gd
99,0.00028597038853405267,Exterior2nd_Wd Shng
100,0.0002845297672092505,Exterior2nd_Brk Cmn
101,0.00028430780935822565,GarageQual_Fa
102,0.00027949205715084336,Neighborhood_SawyerW
103,0.00027648720818580373,Alley_Grvl
104,0.0002627602876833805,ExterQual_Gd
105,0.0002606076965476267,Exterior1st_0
106,0.0002545674043403724,Neighborhood_BrkSide
107,0.0002483187976042764,GarageCond_Fa
108,0.0002439582031136522,LotShape_IR1
109,0.00024129312130373868,Neighborhood_NoRidge
110,0.00023993423488916449,PavedDrive_Y
111,0.00023944538433065,BsmtFinType1_GLQ
112,0.0002339419941680455,Neighborhood_Somerst
113,0.0002292272788078924,Heating_Grav
114,0.00022874729236638548,BsmtCond_Fa
115,0.0002281260823197126,Condition2_RRAe
116,0.00022771337084329086,ExterCond_Fa
117,0.0002270614731133299,Neighborhood_Sawyer
118,0.00021607763363915507,ExterCond_Gd
119,0.00021602567397503852,Heating_OthW
120,0.00021468878773895592,Exterior1st_BrkComm
121,0.0002142894310198775,Neighborhood_MeadowV
122,0.00021278974312223512,Neighborhood_BrDale
123,0.00020704668281092508,Exterior2nd_BrkFace
124,0.00020312195344002038,3SsnPorch
125,0.00019572487552368083,BsmtFinType2_GLQ
126,0.0001901814736758733,BsmtFinType1_LwQ
127,0.00018687929652712245,Exterior1st_CemntBd
